symptom,disease
পাতা নরম spots, সার দেই নাই, Barisal style,Late Blight
পাতা নরম spots, pH কম আছে, Chittagong style,Late Blight
পাতা নরম spots, রোদ বেশি লাগতাছে, Chittagong style,Late Blight
ফল ভালো হইতাছে, spray দিছি, Sylhet style,Healthy
ফল deform হইছে, pH কম আছে, Barisal style,Yellow Leaf Curl
পাতা কালো দাগ হইছে, পানি বেশি দিতাছি, Chittagong style,Early Blight
নতুন পাতা বের হইতাছে না, pH কম আছে, Barisal style,Leaf Curl
পাতা ঝুলা হইছে, nitrogen কম, Sylhet style,Leaf Curl
পাতা সবুজ, পানি বেশি দিতাছি, Sylhet style,Healthy
নতুন পাতা বের হইতাছে না, pH কম আছে, Chittagong style,Leaf Curl
পাতা ঝুলা হইছে, বৃষ্টি বেশি হইছিল, Chittagong style,Leaf Curl
গাছ healthy, রোদ বেশি লাগতাছে, Chittagong style,Healthy
পাতা leaf drop হইতাছে, pH কম আছে, Chittagong style,Yellow Leaf Curl
পাতা হলুদ curl হইছে, রোদ বেশি লাগতাছে, Sylhet style,Yellow Leaf Curl
পাতা ঝুলা হইছে, রোদ বেশি লাগতাছে, Barisal style,Leaf Curl
ফল ভালো হইতাছে, সার দেই নাই, Sylhet style,Healthy
ফল deform হইছে, nitrogen কম, Sylhet style,Yellow Leaf Curl
পাতার উপরে ছোট কালো দাগ, পানি বেশি দিতাছি, Sylhet style,Early Blight
ফল deform হইছে, nitrogen কম, Chittagong style,Yellow Leaf Curl
গাছ stunted হইছে, pH কম আছে, Barisal style,Leaf Curl
পাতার উপরে ছোট কালো দাগ, pH কম আছে, Barisal style,Early Blight
পাতা ঝুলা হইছে, পানি বেশি দিতাছি, Barisal style,Leaf Curl
পাতা ring type দাগ, spray দিছি, Sylhet style,Early Blight
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, সার দেই নাই, Sylhet style,Early Blight
পাতার উপরে ছোট কালো দাগ, পানি বেশি দিতাছি, Barisal style,Early Blight
পাতা নরম spots, nitrogen কম, Chittagong style,Late Blight
পাতা curl হইছে, সার দেই নাই, Sylhet style,Leaf Curl
পাতা পচে যাইতাছে, spray দিছি, Chittagong style,Late Blight
পাতা ring type দাগ, পানি বেশি দিতাছি, Sylhet style,Early Blight
leaf strong, বৃষ্টি বেশি হইছিল, Chittagong style,Healthy
ফল ভালো হইতাছে, সার দেই নাই, Barisal style,Healthy
ফল ভালো হইতাছে, nitrogen কম, Sylhet style,Healthy
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, পানি বেশি দিতাছি, Chittagong style,Early Blight
পাতার নীচে লাল দাগ, পানি বেশি দিতাছি, Barisal style,Late Blight
পাতা সবুজ, nitrogen কম, Barisal style,Healthy
leaf strong, বৃষ্টি বেশি হইছিল, Barisal style,Healthy
পাতা ring type দাগ, পানি বেশি দিতাছি, Chittagong style,Early Blight
পাতার উপরে ছোট কালো দাগ, পানি বেশি দিতাছি, Chittagong style,Early Blight
পাতা leaf drop হইতাছে, পানি বেশি দিতাছি, Sylhet style,Yellow Leaf Curl
পাতার উপরে ছোট কালো দাগ, nitrogen কম, Barisal style,Early Blight
ফল deform হইছে, nitrogen কম, Barisal style,Yellow Leaf Curl
পাতা কালো দাগ হইছে, সার দেই নাই, Barisal style,Early Blight
পাতা সবুজ, pH কম আছে, Chittagong style,Healthy
পাতা কালো দাগ হইছে, সার দেই নাই, Sylhet style,Early Blight
পাতা হলুদ curl হইছে, pH কম আছে, Barisal style,Yellow Leaf Curl
leaf strong, বৃষ্টি বেশি হইছিল, Sylhet style,Healthy
গাছ healthy, সার দেই নাই, Barisal style,Healthy
ফলও black spot দিচ্ছে, spray দিছি, Chittagong style,Late Blight
পাতা পচে যাইতাছে, পানি বেশি দিতাছি, Sylhet style,Late Blight
পাতা পচে যাইতাছে, পানি বেশি দিতাছি, Barisal style,Late Blight
পাতার উপরে ছোট কালো দাগ, বৃষ্টি বেশি হইছিল, Sylhet style,Early Blight
পাতা সবুজ, বৃষ্টি বেশি হইছিল, Sylhet style,Healthy
গাছ slow growth, রোদ বেশি লাগতাছে, Sylhet style,Yellow Leaf Curl
ফল ভালো হইতাছে, pH কম আছে, Barisal style,Healthy
পাতা সবুজ, pH কম আছে, Barisal style,Healthy
পাতা গুলি খোসা খোসা দাগ দিচ্ছে, spray দিছি, Barisal style,Early Blight
পাতা কালো দাগ হইছে, বৃষ্টি বেশি হইছিল, Barisal style,Early Blight
পাতার উপরে ছোট কালো দাগ, spray দিছি, Chittagong style,Early Blight
ফলও black spot দিচ্ছে, pH কম আছে, Chittagong style,Late Blight
পাতা leaf drop হইতাছে, spray দিছি, Sylhet style,Yellow Leaf Curl
